"Name","Quantity","Avg Price","Last Traded","Investment","Current Value","P&L","P&L %"
"Canara Bank",1,"137.96","125.04","137.96","125.04","-12.92","-9.37%"
"Tata Steel",1,"204.29","189.85","204.29","189.85","-14.44","-7.07%"
